"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround"
4.985,1.10070512652154,0.60000858384304,0.1
4.986,1.10069508248133,0.600007632891079,0.1
4.987,1.10068503505348,0.600006683626006,0.1
4.988,1.10067498459169,0.600005736077117,0.1
4.989,1.100664931449,0.600004790273595,0.1
4.99,1.10065487597783,0.600003846244497,0.1
4.991,1.10064481852998,0.600002904018762,0.1
4.992,1.10063475945657,0.600001963625207,0.1
4.993,1.10062469910807,0.600001025092528,0.1
4.994,1.10061463783426,0.600000088449295,0.1
4.995,1.10060457598425,0.599999153723957,0.1
4.996,1.10059451390645,0.599998220944836,0.1
4.997,1.10058445194856,0.599997290140131,0.1
4.998,1.10057439045757,0.599996361337915,0.1
4.999,1.10056432977973,0.599995434566132,0.1
5,1.10055427026057,0.5999945098526,0.1
5.001,1.10054421224485,0.59999358722501,0.1
5.002,1.10053415607659,0.599992666710922,0.1
5.003,1.10052410209902,0.599991748337768,0.1
5.004,1.10051405065461,0.599990832132851,0.1
5.00500000000001,1.10050400208504,0.59998991812334,0.1
5.00600000000001,1.10049395673117,0.599989006336275,0.1
5.00700000000001,1.10048391493307,0.599988096798563,0.1
5.00800000000001,1.10047387702998,0.599987189536979,0.1
5.00900000000001,1.10046384336031,0.599986284578163,0.1
5.01000000000001,1.10045381426164,0.599985381948622,0.1
5.01100000000001,1.10044379007069,0.599984481674728,0.1
5.01200000000001,1.10043377112332,0.599983583782718,0.1
5.01300000000001,1.10042375775452,0.599982688298692,0.1
5.01400000000001,1.10041375029841,0.599981795248614,0.1
5.01500000000001,1.10040374908821,0.599980904658312,0.1
5.01600000000001,1.10039375445625,0.599980016553473,0.1
5.01700000000001,1.10038376673394,0.599979130959649,0.1
5.01800000000001,1.10037378625177,0.599978247902251,0.1
5.01900000000001,1.10036381333933,0.599977367406551,0.1
5.02000000000001,1.10035384832524,0.59997648949768,0.1
5.02100000000001,1.10034389153719,0.599975614200628,0.1
5.02200000000001,1.10033394330192,0.599974741540246,0.1
5.02300000000001,1.10032400394518,0.599973871541241,0.1
5.02400000000001,1.10031407379177,0.599973004228176,0.1
5.02500000000001,1.10030415316549,0.599972139625476,0.1
5.02600000000001,1.10029424238917,0.599971277757416,0.1
5.02700000000001,1.1002843417846,0.599970418648132,0.1
5.02800000000001,1.10027445167261,0.599969562321613,0.1
5.02900000000001,1.10026457237295,0.599968708801702,0.1
5.03000000000001,1.1002547042044,0.599967858112099,0.1
5.03100000000001,1.10024484748466,0.599967010276355,0.1
5.03200000000001,1.1002350025304,0.599966165317875,0.1
5.03300000000001,1.10022516965724,0.599965323259917,0.1
5.03400000000001,1.10021534917972,0.599964484125593,0.1
5.03500000000002,1.10020554141131,0.599963647937863,0.1
5.03600000000002,1.10019574666442,0.59996281471954,0.1
5.03700000000002,1.10018596525035,0.599961984493289,0.1
5.03800000000002,1.1001761974793,0.599961157281623,0.1
5.03900000000002,1.10016644366036,0.599960333106907,0.1
5.04000000000002,1.10015670410153,0.599959511991353,0.1
5.04100000000002,1.10014697910966,0.599958693957024,0.1
5.04200000000002,1.10013726899049,0.599957879025831,0.1
5.04300000000002,1.10012757404859,0.599957067219532,0.1
5.04400000000002,1.1001178945874,0.599956258559732,0.1
5.04500000000002,1.10010823090921,0.599955453067886,0.1
5.04600000000002,1.10009858331514,0.599954650765292,0.1
5.04700000000002,1.10008895210512,0.599953851673098,0.1
5.04800000000002,1.10007933757793,0.599953055812294,0.1
5.04900000000002,1.10006974003114,0.599952263203719,0.1
5.05000000000002,1.10006015976113,0.599951473868054,0.1
5.05100000000002,1.10005059706307,0.599950687825828,0.1
5.05200000000002,1.10004105223094,0.59994990509741,0.1
5.05300000000002,1.10003152555746,0.599949125703016,0.1
5.05400000000002,1.10002201733417,0.599948349662706,0.1
5.05500000000002,1.10001252785134,0.59994757699638,0.1
5.05600000000002,1.10000305739801,0.599946807723783,0.1
5.05700000000002,1.09999360626198,0.599946041864502,0.1
5.05800000000002,1.09998417472977,0.599945279437966,0.1
5.05900000000002,1.09997476308667,0.599944520463445,0.1
5.06000000000002,1.09996537161666,0.599943764960052,0.1
5.06100000000002,1.09995600060247,0.59994301294674,0.1
5.06200000000002,1.09994665032553,0.599942264442302,0.1
5.06300000000002,1.09993732106599,0.599941519465372,0.1
5.06400000000002,1.09992801310269,0.599940778034424,0.1
5.06500000000003,1.09991872671315,0.599940040167773,0.1
5.06600000000003,1.09990946217361,0.599939305883571,0.1
5.06700000000003,1.09990021975896,0.599938575199811,0.1
5.06800000000003,1.09989099974277,0.599937848134324,0.1
5.06900000000003,1.0998818023973,0.599937124704781,0.1
5.07000000000003,1.09987262799342,0.599936404928688,0.1
5.07100000000003,1.09986347680071,0.599935688823393,0.1
5.07200000000003,1.09985434908734,0.599934976406079,0.1
5.07300000000003,1.09984524512017,0.599934267693768,0.1
5.07400000000003,1.09983616516466,0.599933562703318,0.1
5.07500000000003,1.0998271094849,0.599932861451424,0.1
5.07600000000003,1.09981807834363,0.59993216395462,0.1
5.07700000000003,1.09980907200217,0.599931470229274,0.1
5.07800000000003,1.09980009072045,0.599930780291591,0.1
5.07900000000003,1.09979113475703,0.599930094157613,0.1
5.08000000000003,1.09978220436904,0.599929411843216,0.1
5.08100000000003,1.09977329981222,0.599928733364113,0.1
5.08200000000003,1.09976442134086,0.599928058735852,0.1
5.08300000000003,1.09975556920788,0.599927387973816,0.1
5.08400000000003,1.09974674366472,0.599926721093225,0.1
5.08500000000003,1.09973794496143,0.59992605810913,0.1
5.08600000000003,1.09972917334658,0.59992539903642,0.1
5.08700000000003,1.09972042906733,0.599924743889817,0.1
5.08800000000003,1.09971171236938,0.599924092683878,0.1
5.08900000000003,1.09970302349697,0.599923445432993,0.1
5.09000000000003,1.09969436269287,0.599922802151388,0.1
5.09100000000003,1.0996857301984,0.59992216285312,0.1
5.09200000000003,1.0996771262534,0.599921527552083,0.1
5.09300000000003,1.09966855109623,0.599920896262003,0.1
5.09400000000003,1.09966000496378,0.599920268996438,0.1
5.09500000000004,1.09965148809144,0.599919645768781,0.1
