t,pos1,pos2
1.477,0.162406126,0.105880702
1.478,0.162413153,0.105854074
1.479,0.16241797,0.105827535
1.48,0.162420582,0.105801137
1.481,0.162420993,0.105774933
1.482,0.162419208,0.10574897
1.483,0.162415233,0.105723293
1.484,0.162409072,0.105697944
1.485,0.162400732,0.105672963
1.486,0.162390218,0.105648385
1.487,0.162377535,0.105624243
1.488,0.16236269,0.105600567
1.489,0.162345689,0.105577383
1.49,0.162326538,0.105554714
1.491,0.162305244,0.10553258
1.492,0.162281813,0.105510997
1.493,0.162256252,0.105489979
1.494,0.162228568,0.105469535
1.495,0.162198768,0.105449672
1.496,0.162166858,0.105430394
1.497,0.162132847,0.1054117
1.498,0.16209674,0.10539359
1.499,0.162058546,0.105376056
1.5,0.162018272,0.105359091
1.501,0.161975925,0.105342684
1.502,0.161931513,0.105326821
1.503,0.161885043,0.105311487
1.504,0.161836523,0.105296662
1.505,0.16178596,0.105282327
1.506,0.161733363,0.105268458
1.507,0.161678738,0.105255032
1.508,0.161622093,0.105242021
1.509,0.161563436,0.105229398
1.51,0.161502775,0.105217134
1.511,0.161440117,0.105205197
1.512,0.16137547,0.105193556
1.513,0.161308842,0.105182179
1.514,0.161240239,0.10517103
1.515,0.161169671,0.105160077
1.516,0.161097144,0.105149284
1.517,0.161022666,0.105138617
1.518,0.160946244,0.105128039
1.519,0.160867886,0.105117515
1.52,0.1607876,0.105107011
1.521,0.160705392,0.105096491
1.522,0.16062127,0.10508592
1.523,0.160535243,0.105075264
1.524,0.160447316,0.105064491
1.525,0.160357497,0.105053566
1.526,0.160265793,0.105042459
1.527,0.160172213,0.105031138
1.528,0.160076762,0.105019574
1.529,0.159979448,0.105007738
1.53,0.159880278,0.104995604
1.531,0.159779259,0.104983144
1.532,0.159676399,0.104970335
1.533,0.159571705,0.104957155
1.534,0.159465182,0.104943581
1.535,0.159356839,0.104929593
1.536,0.159246683,0.104915175
1.537,0.15913472,0.104900308
1.538,0.159020958,0.10488498
1.539,0.158905403,0.104869177
1.54,0.158788062,0.104852887
1.541,0.158668943,0.104836102
1.542,0.158548053,0.104818814
1.543,0.158425398,0.104801016
1.544,0.158300985,0.104782706
1.545,0.158174822,0.10476388
1.546,0.158046915,0.104744538
1.547,0.157917273,0.104724681
1.548,0.157785901,0.104704311
1.549,0.157652807,0.104683432
1.55,0.157517999,0.104662051
1.551,0.157381483,0.104640173
1.552,0.157243266,0.104617809
1.553,0.157103357,0.104594966
1.554,0.156961763,0.104571657
1.555,0.15681849,0.104547895
1.556,0.156673547,0.104523691
1.557,0.156526941,0.10449906
1.558,0.156378679,0.104474019
1.559,0.15622877,0.104448583
1.56,0.156077221,0.10442277
1.561,0.15592404,0.104396596
1.562,0.155769235,0.104370081
1.563,0.155612814,0.104343243
1.564,0.155454784,0.104316102
1.565,0.155295155,0.104288677
1.566,0.155133934,0.104260989
1.567,0.15497113,0.104233057
1.568,0.15480675,0.104204903
1.569,0.154640804,0.104176546
1.57,0.1544733,0.104148007
1.571,0.154304247,0.104119306
1.572,0.154133653,0.104090463
1.573,0.153961526,0.104061498
1.574,0.153787877,0.10403243
1.575,0.153612714,0.104003279
1.576,0.153436045,0.103974062
1.577,0.153257881,0.103944799
1.578,0.15307823,0.103915505
1.579,0.152897101,0.103886199
1.58,0.152714504,0.103856897
1.581,0.152530448,0.103827613
1.582,0.152344942,0.103798363
1.583,0.152157997,0.10376916
1.584,0.151969621,0.103740018
1.585,0.151779825,0.103710949
1.586,0.151588618,0.103681963
1.587,0.15139601,0.103653072
1.588,0.151202011,0.103624285
1.589,0.15100663,0.10359561
1.59,0.150809878,0.103567056
1.591,0.150611765,0.103538628
1.592,0.1504123,0.103510333
1.593,0.150211495,0.103482176
1.594,0.150009358,0.10345416
1.595,0.1498059,0.103426288
1.596,0.149601132,0.103398562
1.597,0.149395063,0.103370985
1.598,0.149187705,0.103343555
1.599,0.148979066,0.103316273
