"time{s}","chassis\zChassis","wheel\zWheel","ground\zGround","chassis1\zChassis","wheel1\zWheel","ground1\zGround"
1.8699999999999,1.08326740643278,0.597272942296498,0.1,1.08480954240971,0.599307332261017,0.1
1.8709999999999,1.08306008509529,0.597259431008528,0.1,1.08459900650736,0.599293560660052,0.1
1.8719999999999,1.08285377963462,0.597246038049092,0.1,1.08438951202792,0.599279911577409,0.1
1.8729999999999,1.08264849503534,0.597232763796029,0.1,1.08418106401446,0.599266385463254,0.1
1.8739999999999,1.08244423623672,0.597219608634837,0.1,1.08397366746403,0.599252982766741,0.1
1.8749999999999,1.08224100813274,0.597206572957624,0.1,1.08376732732754,0.59923970393492,0.1
1.8759999999999,1.08203881557198,0.597193657162043,0.1,1.08356204850974,0.599226549411651,0.1
1.8769999999999,1.08183766335766,0.597180861650208,0.1,1.08335783586915,0.59921351963655,0.1
1.8779999999999,1.08163755624752,0.597168186827606,0.1,1.08315469421797,0.599200615043951,0.1
1.8789999999999,1.08143849895384,0.597155633101999,0.1,1.08295262832206,0.599187836061903,0.1
1.8799999999999,1.08124049614335,0.597143200882331,0.1,1.08275164290085,0.599175183111196,0.1
1.8809999999999,1.08104355243723,0.597130890577634,0.1,1.08255174262726,0.599162656604424,0.1
1.8819999999999,1.08084767241101,0.597118702595949,0.1,1.08235293212768,0.599150256945085,0.1
1.8829999999999,1.08065286059459,0.597106637343253,0.1,1.08215521598185,0.599137984526718,0.1
1.8839999999999,1.08045912147213,0.597094695222408,0.1,1.08195859872284,0.599125839732097,0.1
1.8849999999999,1.08026645948205,0.597082876632129,0.1,1.08176308483694,0.599113822932451,0.1
1.8859999999999,1.08007487901694,0.597071181965972,0.1,1.08156867876363,0.59910193448675,0.1
1.8869999999999,1.07988438442356,0.597059611611359,0.1,1.08137538489549,0.599090174741028,0.1
1.8879999999999,1.07969498000274,0.597048165948623,0.1,1.08118320757814,0.599078544027764,0.1
1.8889999999999,1.07950667000936,0.597036845350099,0.1,1.08099215111015,0.59906704266531,0.1
1.8899999999999,1.07931945865228,0.597025650179238,0.1,1.08080221974302,0.599055670957381,0.1
1.8909999999999,1.07913335009432,0.597014580789776,0.1,1.08061341768107,0.599044429192586,0.1
